"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/26/2024","7/26/2024","7/26/2024","SPHD","Cash Div: R/D 2024-07-22 P/D 2024-07-26 - 3 shares at 0.13513","CDIV","","","$0.41"
"7/25/2024","7/25/2024","7/25/2024","CRM","Cash Div: R/D 2024-07-09 P/D 2024-07-25 - 1 shares at 0.4","CDIV","","","$0.40"
"7/25/2024","7/25/2024","7/25/2024","DIS","Cash Div: R/D 2024-07-08 P/D 2024-07-25 - 0.5 shares at 0.45","CDIV","","","$0.23"
"7/22/2024","7/22/2024","7/23/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","1","$102.12","($102.12)"
"7/22/2024","7/22/2024","7/23/2024","","ACH Deposit","ACH","","","$100.00"
"7/18/2024","7/18/2024","7/19/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","2","$100.50","($200.99)"
"7/18/2024","7/18/2024","7/19/2024","","ACH Deposit","ACH","","","$155.00"
"7/15/2024","7/15/2024","7/15/2024","O","Cash Div: R/D 2024-07-01 P/D 2024-07-15 - 4 shares at 0.263","CDIV","","","$1.05"
"7/15/2024","7/15/2024","7/15/2024","ADC","Cash Div: R/D 2024-06-28 P/D 2024-07-15 - 1 shares at 0.25","CDIV","","","$0.25"
"7/15/2024","7/15/2024","7/16/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","0.5","$104.44","($52.22)"
"7/15/2024","7/15/2024","7/16/2024","","ACH Deposit","ACH","","","$100.00"
"7/12/2024","7/12/2024","7/15/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","0.5","$104.86","($52.43)"
"7/8/2024","7/8/2024","7/9/2024","CMG","Chipotle
CUSIP: 169656105","Buy","1","$59.08","($59.09)"
"7/8/2024","7/8/2024","7/9/2024","","ACH Deposit","ACH","","","$100.00"
"7/5/2024","7/5/2024","7/5/2024","AMC","Stock Lending","SLIP","","","$0.01"
"7/5/2024","7/5/2024","7/5/2024","ADC","Stock Lending","SLIP","","","$0.01"
"7/5/2024","7/5/2024","7/5/2024","VYM","Stock Lending","SLIP","","","$0.01"
"7/5/2024","7/5/2024","7/5/2024","RSP","Stock Lending","SLIP","","","$0.01"
"7/5/2024","7/5/2024","7/5/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"7/5/2024","7/5/2024","7/5/2024","VOO","Stock Lending","SLIP","","","$0.01"
"7/5/2024","7/5/2024","7/5/2024","ARM","Stock Lending","SLIP","","","$0.01"
"7/5/2024","7/5/2024","7/5/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"7/3/2024","7/3/2024","7/3/2024","JEPI","Cash Div: R/D 2024-07-01 P/D 2024-07-03 - 2 shares at 0.33012","CDIV","","","$0.66"
"7/3/2024","7/3/2024","7/3/2024","NOBL","Manufactured Div: R/D 2024-06-26 P/D 2024-07-03 - 3 shares at 0.550235","MDIV","","","$1.65"
"7/3/2024","7/3/2024","7/3/2024","VICI","Cash Div: R/D 2024-06-18 P/D 2024-07-03 - 3 shares at 0.415","CDIV","","","$1.25"
"7/3/2024","7/3/2024","7/5/2024","AMZN","Amazon
CUSIP: 023135106","Buy","0.159647","$197.48","($31.53)"
"7/3/2024","7/3/2024","7/5/2024","MCD","McDonald's
CUSIP: 580135101","Buy","0.142692","$248.62","($35.48)"
"7/3/2024","7/3/2024","7/5/2024","MA","Mastercard
CUSIP: 57636Q104","Buy","0.160317","$445.39","($71.40)"
"7/3/2024","7/3/2024","7/5/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.047583","$336.16","($16.00)"
"7/3/2024","7/3/2024","7/5/2024","SBUX","Starbucks
CUSIP: 855244109","Buy","0.167637","$76.78","($12.87)"
"7/3/2024","7/3/2024","7/5/2024","CRM","Salesforce
CUSIP: 79466L302","Buy","0.253613","$257.44","($65.29)"
"7/2/2024","7/2/2024","7/2/2024","VOO","Cash Div: R/D 2024-06-28 P/D 2024-07-02 - 4 shares at 1.7835","CDIV","","","$7.13"
"7/2/2024","7/2/2024","7/2/2024","VTI","Cash Div: R/D 2024-06-28 P/D 2024-07-02 - 0.398595 shares at 0.9519","CDIV","","","$0.38"
"7/2/2024","7/2/2024","7/2/2024","VIG","Cash Div: R/D 2024-06-28 P/D 2024-07-02 - 0.273554 shares at 0.8992","CDIV","","","$0.25"
"7/2/2024","7/2/2024","7/3/2024","DIS","Disney
CUSIP: 254687106","Buy","0.241474","$97.88","($23.64)"
"7/2/2024","7/2/2024","7/3/2024","KO","Coca-Cola
CUSIP: 191216100","Buy","0.917757","$63.15","($57.96)"
"7/2/2024","7/2/2024","7/3/2024","","ACH Deposit","ACH","","","$200.00"
"7/1/2024","7/1/2024","7/1/2024","VUG","Cash Div: R/D 2024-06-27 P/D 2024-07-01 - 0.14502 shares at 0.456","CDIV","","","$0.07"
"7/1/2024","7/1/2024","7/1/2024","SCHD","Cash Div: R/D 2024-06-26 P/D 2024-07-01 - 6 shares at 0.8241","CDIV","","","$4.94"
"7/1/2024","7/1/2024","7/1/2024","KO","Cash Div: R/D 2024-06-14 P/D 2024-07-01 - 1.082243 shares at 0.485","CDIV","","","$0.52"
"7/1/2024","7/1/2024","7/2/2024","","ACH Deposit","ACH","","","$100.00"
"6/28/2024","6/28/2024","6/28/2024","RSP","Cash Div: R/D 2024-06-24 P/D 2024-06-28 - 1 shares at 0.66342","CDIV","","","$0.66"
"6/28/2024","6/28/2024","6/28/2024","SPHD","Cash Div: R/D 2024-06-24 P/D 2024-06-28 - 3 shares at 0.13011","CDIV","","","$0.39"
"6/28/2024","6/28/2024","6/28/2024","PEP","Cash Div: R/D 2024-06-07 P/D 2024-06-28 - 0.2973 shares at 1.355","CDIV","","","$0.40"
"6/26/2024","6/26/2024","6/26/2024","CMG","Chipotle
CUSIP: 169656105","SPL","3.92","",""
"6/25/2024","6/25/2024","6/25/2024","VYM","Cash Div: R/D 2024-06-21 P/D 2024-06-25 - 2 shares at 1.0237","CDIV","","","$2.05"
"6/25/2024","6/25/2024","6/25/2024","TXRH","Cash Div: R/D 2024-06-12 P/D 2024-06-25 - 2 shares at 0.61","CDIV","","","$1.22"
"6/24/2024","6/24/2024","6/25/2024","CMG","Chipotle
CUSIP: 169656105","Buy","0.034935","$3,185.88","($111.30)"
"6/24/2024","6/24/2024","6/25/2024","","ACH Deposit","ACH","","","$10.00"
"6/24/2024","6/24/2024","6/25/2024","","ACH Deposit","ACH","","","$100.00"
"6/20/2024","6/20/2024","6/21/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.38902","$505.08","($196.49)"
"6/20/2024","6/20/2024","6/21/2024","","ACH Deposit","ACH","","","$10.00"
"6/20/2024","6/20/2024","6/21/2024","","ACH Deposit","ACH","","","$200.00"
"6/18/2024","6/18/2024","6/20/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.404774","$503.07","($203.63)"
"6/17/2024","6/17/2024","6/17/2024","GOOGL","Cash Div: R/D 2024-06-10 P/D 2024-06-17 - 2 shares at 0.2","CDIV","","","$0.40"
"6/17/2024","6/17/2024","6/17/2024","MCD","Cash Div: R/D 2024-06-03 P/D 2024-06-17 - 0.357308 shares at 1.67","CDIV","","","$0.60"
"6/17/2024","6/17/2024","6/18/2024","","ACH Deposit","ACH","","","$100.00"
"6/14/2024","6/14/2024","6/14/2024","ADC","Cash Div: R/D 2024-05-31 P/D 2024-06-14 - 1 shares at 0.25","CDIV","","","$0.25"
"6/14/2024","6/14/2024","6/14/2024","O","Cash Div: R/D 2024-06-03 P/D 2024-06-14 - 4 shares at 0.2625","CDIV","","","$1.05"
"6/13/2024","6/13/2024","6/13/2024","HD","Cash Div: R/D 2024-05-30 P/D 2024-06-13 - 0.452417 shares at 2.25","CDIV","","","$1.02"
"6/13/2024","6/13/2024","6/13/2024","MSFT","Cash Div: R/D 2024-05-16 P/D 2024-06-13 - 0.673807 shares at 0.75","CDIV","","","$0.51"
"6/10/2024","6/10/2024","6/11/2024","","ACH Deposit","ACH","","","$100.00"
"6/7/2024","6/7/2024","6/7/2024","VYM","Stock Lending","SLIP","","","$0.01"
"6/7/2024","6/7/2024","6/7/2024","SPHD","Stock Lending","SLIP","","","$0.01"
"6/7/2024","6/7/2024","6/7/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"6/7/2024","6/7/2024","6/7/2024","ARM","Stock Lending","SLIP","","","$0.01"
"6/7/2024","6/7/2024","6/7/2024","RSP","Stock Lending","SLIP","","","$0.01"
"6/7/2024","6/7/2024","6/7/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"6/7/2024","6/7/2024","6/7/2024","AMC","Stock Lending","SLIP","","","$0.01"
"6/7/2024","6/7/2024","6/7/2024","JEPI","Stock Lending","SLIP","","","$0.01"
"6/5/2024","6/5/2024","6/5/2024","JEPI","Cash Div: R/D 2024-06-03 P/D 2024-06-05 - 2 shares at 0.36027","CDIV","","","$0.72"
"6/3/2024","6/3/2024","6/4/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.208274","$485.13","($101.04)"
"6/3/2024","6/3/2024","6/4/2024","","ACH Deposit","ACH","","","$100.00"
"5/31/2024","5/31/2024","5/31/2024","SBUX","Cash Div: R/D 2024-05-17 P/D 2024-05-31 - 1.832363 shares at 0.57","CDIV","","","$1.04"
"5/31/2024","5/31/2024","6/3/2024","CRM","Salesforce
CUSIP: 79466L302","Buy","0.440305","$227.06","($99.98)"
"5/31/2024","5/31/2024","6/3/2024","CRM","Salesforce
CUSIP: 79466L302","Buy","0.000088","$227.06","($0.02)"
"5/31/2024","5/31/2024","6/3/2024","","ACH Deposit","ACH","","","$100.00"
"5/29/2024","5/29/2024","5/30/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.20884","$483.91","($101.06)"
"5/28/2024","5/28/2024","5/29/2024","","ACH Deposit","ACH","","","$100.00"
"5/24/2024","5/24/2024","5/24/2024","SPHD","Cash Div: R/D 2024-05-21 P/D 2024-05-24 - 3 shares at 0.13625","CDIV","","","$0.41"
"5/21/2024","5/21/2024","5/21/2024","TXN","Cash Div: R/D 2024-05-08 P/D 2024-05-21 - 0.5 shares at 1.3","CDIV","","","$0.65"
"5/21/2024","5/21/2024","5/23/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.065815","$487.27","($32.07)"
"5/21/2024","5/21/2024","5/23/2024","COST","Costco
CUSIP: 22160K105","Buy","0.087937","$795.05","($69.91)"
"5/20/2024","5/20/2024","5/21/2024","","ACH Deposit","ACH","","","$100.00"
"5/15/2024","5/15/2024","5/15/2024","O","Cash Div: R/D 2024-05-01 P/D 2024-05-15 - 4 shares at 0.257","CDIV","","","$1.03"
"5/14/2024","5/14/2024","5/14/2024","ADC","Cash Div: R/D 2024-04-30 P/D 2024-05-14 - 1 shares at 0.25","CDIV","","","$0.25"
"5/14/2024","5/14/2024","5/16/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.207699","$481.46","($100.00)"
"5/13/2024","5/13/2024","5/14/2024","","ACH Deposit","ACH","","","$100.00"
"5/10/2024","5/10/2024","5/10/2024","COST","Cash Div: R/D 2024-04-26 P/D 2024-05-10 - 0.412063 shares at 1.16","CDIV","","","$0.48"
"5/9/2024","5/9/2024","5/9/2024","MA","Cash Div: R/D 2024-04-09 P/D 2024-05-09 - 0.339683 shares at 0.66","CDIV","","","$0.22"
"5/7/2024","5/7/2024","5/9/2024","QQQ","Invesco QQQ
CUSIP: 46090E103","Buy","0.192598","$440.60","($84.86)"
"5/7/2024","5/7/2024","5/9/2024","AMC","AMC Entertainment
CUSIP: 00165C302","Buy","5","$3.17","($15.85)"
"5/6/2024","5/6/2024","5/6/2024","JEPI","Cash Div: R/D 2024-05-02 P/D 2024-05-06 - 2 shares at 0.32609","CDIV","","","$0.65"
"5/6/2024","5/6/2024","5/6/2024","JEPI","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","RSP","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","SPHD","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","VYM","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/6/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/7/2024","","ACH Deposit","ACH","","","$100.00"
"5/1/2024","5/1/2024","5/3/2024","SBUX","Starbucks
CUSIP: 855244109","Buy","0.832363","$73.04","($60.80)"
"5/1/2024","5/1/2024","5/3/2024","TXRH","Texas Roadhouse
CUSIP: 882681109","Buy","0.25","$156.78","($39.20)"
"5/1/2024","5/1/2024","5/2/2024","","ACH Deposit","ACH","","","$100.00"
"4/30/2024","4/30/2024","5/2/2024","VTI","Vanguard Total Stock Market ETF
CUSIP: 922908769","Buy","0.398199","$251.94","($100.32)"
"4/30/2024","4/30/2024","5/2/2024","VTI","Vanguard Total Stock Market ETF
CUSIP: 922908769","Buy","0.000396","$251.94","($0.10)"
"4/29/2024","4/29/2024","4/30/2024","","ACH Deposit","ACH","","","$100.00"
"4/26/2024","4/26/2024","4/26/2024","SPHD","Cash Div: R/D 2024-04-23 P/D 2024-04-26 - 3 shares at 0.14107","CDIV","","","$0.42"
"4/22/2024","4/22/2024","4/24/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.22091","$457.32","($101.03)"
"4/22/2024","4/22/2024","4/23/2024","","ACH Deposit","ACH","","","$100.00"
"4/16/2024","4/16/2024","4/18/2024","CRM","Salesforce
CUSIP: 79466L302","Buy","0.127374","$274.78","($35.00)"
"4/15/2024","4/15/2024","4/15/2024","O","Cash Div: R/D 2024-04-01 P/D 2024-04-15 - 4 shares at 0.257","CDIV","","","$1.03"
"4/15/2024","4/15/2024","4/17/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.140201","$463.62","($65.00)"
"4/15/2024","4/15/2024","4/16/2024","","ACH Deposit","ACH","","","$100.00"
"4/9/2024","4/9/2024","4/11/2024","CRM","Salesforce
CUSIP: 79466L302","Buy","0.17862","$303.04","($54.13)"
"4/9/2024","4/9/2024","4/11/2024","ADC","Agree Realty
CUSIP: 008492100","Buy","1","$57.54","($57.54)"
"4/8/2024","4/8/2024","4/9/2024","","ACH Deposit","ACH","","","$100.00"
"4/5/2024","4/5/2024","4/5/2024","ARM","Stock Lending","SLIP","","","$0.01"
"4/5/2024","4/5/2024","4/5/2024","SPHD","Stock Lending","SLIP","","","$0.01"
"4/5/2024","4/5/2024","4/5/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"4/5/2024","4/5/2024","4/5/2024","RSP","Stock Lending","SLIP","","","$0.01"
"4/5/2024","4/5/2024","4/5/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"4/5/2024","4/5/2024","4/5/2024","VYM","Stock Lending","SLIP","","","$0.01"
"4/4/2024","4/4/2024","4/4/2024","JEPI","Cash Div: R/D 2024-04-02 P/D 2024-04-04 - 2 shares at 0.34519","CDIV","","","$0.69"
"4/4/2024","4/4/2024","4/4/2024","VICI","Cash Div: R/D 2024-03-21 P/D 2024-04-04 - 3 shares at 0.415","CDIV","","","$1.25"
"4/1/2024","4/1/2024","4/1/2024","KO","Cash Div: R/D 2024-03-15 P/D 2024-04-01 - 1.082243 shares at 0.485","CDIV","","","$0.52"
"4/1/2024","4/1/2024","4/1/2024","PEP","Cash Div: R/D 2024-03-01 P/D 2024-04-01 - 0.2973 shares at 1.265","CDIV","","","$0.38"
"4/1/2024","4/1/2024","4/3/2024","VUG","Vanguard Growth ETF
CUSIP: 922908736","Buy","0.14502","$344.80","($50.00)"
"4/1/2024","4/1/2024","4/3/2024","VIG","Vanguard Dividend Appreciation ETF
CUSIP: 921908844","Buy","0.272843","$182.79","($49.87)"
"4/1/2024","4/1/2024","4/3/2024","VIG","Vanguard Dividend Appreciation ETF
CUSIP: 921908844","Buy","0.000711","$182.79","($0.13)"
"4/1/2024","4/1/2024","4/2/2024","","ACH Deposit","ACH","","","$100.00"
"3/27/2024","3/27/2024","3/27/2024","VOO","Cash Div: R/D 2024-03-25 P/D 2024-03-27 - 2.154467 shares at 1.5429","CDIV","","","$3.32"
"3/27/2024","3/27/2024","3/27/2024","NOBL","Cash Div: R/D 2024-03-21 P/D 2024-03-27 - 3.003643 shares at 0.386266","CDIV","","","$1.16"
"3/27/2024","3/27/2024","3/27/2024","NVDA","Cash Div: R/D 2024-03-06 P/D 2024-03-27 - 0.247298 shares at 0.04","CDIV","","","$0.01"
"3/26/2024","3/26/2024","3/26/2024","TXRH","Cash Div: R/D 2024-03-13 P/D 2024-03-26 - 1 shares at 0.61","CDIV","","","$0.61"
"3/25/2024","3/25/2024","3/25/2024","SCHD","Cash Div: R/D 2024-03-21 P/D 2024-03-25 - 6 shares at 0.611","CDIV","","","$3.67"
"3/25/2024","3/25/2024","3/27/2024","HD","Home Depot
CUSIP: 437076102","Buy","0.206977","$384.82","($79.65)"
"3/22/2024","3/22/2024","3/22/2024","RSP","Cash Div: R/D 2024-03-19 P/D 2024-03-22 - 1 shares at 0.68016","CDIV","","","$0.68"
"3/22/2024","3/22/2024","3/22/2024","SPHD","Cash Div: R/D 2024-03-19 P/D 2024-03-22 - 3 shares at 0.13405","CDIV","","","$0.40"
"3/21/2024","3/21/2024","3/21/2024","HD","Cash Div: R/D 2024-03-07 P/D 2024-03-21 - 0.24544 shares at 2.25","CDIV","","","$0.55"
"3/20/2024","3/20/2024","3/20/2024","VYM","Cash Div: R/D 2024-03-18 P/D 2024-03-20 - 2 shares at 0.6555","CDIV","","","$1.31"
"3/15/2024","3/15/2024","3/15/2024","MCD","Cash Div: R/D 2024-03-01 P/D 2024-03-15 - 0.357308 shares at 1.67","CDIV","","","$0.60"
"3/15/2024","3/15/2024","3/15/2024","O","Cash Div: R/D 2024-03-01 P/D 2024-03-15 - 2 shares at 0.2565","CDIV","","","$0.51"
"3/14/2024","3/14/2024","3/14/2024","MSFT","Cash Div: R/D 2024-02-15 P/D 2024-03-14 - 0.178994 shares at 0.75","CDIV","","","$0.13"
"3/14/2024","3/14/2024","3/18/2024","TXRH","Texas Roadhouse
CUSIP: 882681109","Buy","0.75","$152.96","($114.72)"
"3/14/2024","3/14/2024","3/18/2024","VICI","VICI Properties
CUSIP: 925652109","Buy","1","$28.92","($28.92)"
"3/14/2024","3/14/2024","3/18/2024","O","Realty Income
CUSIP: 756109104","Buy","1","$51.44","($51.44)"
"3/13/2024","3/13/2024","3/15/2024","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","1","$79.44","($79.45)"
"3/13/2024","3/13/2024","3/15/2024","COST","Costco
CUSIP: 22160K105","Buy","0.136619","$731.96","($100.00)"
"3/13/2024","3/13/2024","3/15/2024","MA","Mastercard
CUSIP: 57636Q104","Buy","0.105277","$474.94","($50.00)"
"3/13/2024","3/13/2024","3/14/2024","","ACH Deposit","ACH","","","$500.00"
"3/8/2024","3/8/2024","3/12/2024","MA","Mastercard
CUSIP: 57636Q104","Buy","0.106676","$467.10","($49.83)"
"3/8/2024","3/8/2024","3/12/2024","MA","Mastercard
CUSIP: 57636Q104","Buy","0.000363","$467.10","($0.17)"
"3/7/2024","3/7/2024","3/11/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.154467","$473.18","($73.09)"
"3/7/2024","3/7/2024","3/11/2024","O","Realty Income
CUSIP: 756109104","Buy","1","$52.22","($52.22)"
"3/7/2024","3/7/2024","3/11/2024","VICI","VICI Properties
CUSIP: 925652109","Buy","2","$29.00","($58.00)"
"3/7/2024","3/7/2024","3/11/2024","NVDA","NVIDIA
CUSIP: 67066G104","Sell","0.247298","$940.80","$232.66"
"3/7/2024","3/7/2024","3/7/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"3/7/2024","3/7/2024","3/7/2024","VYM","Stock Lending","SLIP","","","$0.01"
"3/7/2024","3/7/2024","3/7/2024","ARM","Stock Lending","SLIP","","","$0.01"
"3/7/2024","3/7/2024","3/7/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"3/7/2024","3/7/2024","3/7/2024","RSP","Stock Lending","SLIP","","","$0.01"
"3/6/2024","3/6/2024","3/6/2024","JEPI","Cash Div: R/D 2024-03-04 P/D 2024-03-06 - 2 shares at 0.30085","CDIV","","","$0.60"
"2/26/2024","2/26/2024","2/28/2024","AMZN","Amazon
CUSIP: 023135106","Buy","0.840353","$174.26","($146.44)"
"2/26/2024","2/26/2024","2/28/2024","MSFT","Microsoft
CUSIP: 594918104","Buy","0.244331","$409.28","($100.00)"
"2/26/2024","2/26/2024","2/28/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.066164","$466.04","($30.84)"
"2/26/2024","2/26/2024","2/28/2024","SBUX","Starbucks
CUSIP: 855244109","Buy","0.467509","$94.67","($44.26)"
"2/26/2024","2/26/2024","2/28/2024","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.089044","$138.08","($12.29)"
"2/26/2024","2/26/2024","2/28/2024","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","1.209","$138.06","($166.91)"
"2/26/2024","2/26/2024","2/27/2024","","ACH Deposit","ACH","","","$500.00"
"2/23/2024","2/23/2024","2/23/2024","SPHD","Cash Div: R/D 2024-02-21 P/D 2024-02-23 - 3 shares at 0.14544","CDIV","","","$0.44"
"2/23/2024","2/23/2024","2/23/2024","SBUX","Cash Div: R/D 2024-02-09 P/D 2024-02-23 - 0.532491 shares at 0.57","CDIV","","","$0.30"
"2/21/2024","2/21/2024","2/23/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.25348","$455.38","($115.43)"
"2/21/2024","2/21/2024","2/23/2024","COST","Costco
CUSIP: 22160K105","Buy","0.103623","$723.78","($75.00)"
"2/21/2024","2/21/2024","2/23/2024","NFLX","Netflix
CUSIP: 64110L106","Buy","0.174383","$573.45","($100.00)"
"2/21/2024","2/21/2024","2/23/2024","MSFT","Microsoft
CUSIP: 594918104","Buy","0.250482","$399.23","($100.00)"
"2/21/2024","2/21/2024","2/23/2024","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.272188","$142.48","($38.78)"
"2/21/2024","2/21/2024","2/23/2024","TXRH","Texas Roadhouse
CUSIP: 882681109","Buy","0.5","$145.70","($72.85)"
"2/21/2024","2/21/2024","2/22/2024","","ACH Deposit","ACH","","","$500.00"
"2/16/2024","2/16/2024","2/16/2024","COST","Cash Div: R/D 2024-02-02 P/D 2024-02-16 - 0.171821 shares at 1.02","CDIV","","","$0.18"
"2/15/2024","2/15/2024","2/15/2024","O","Cash Div: R/D 2024-02-01 P/D 2024-02-15 - 2 shares at 0.2565","CDIV","","","$0.51"
"2/13/2024","2/13/2024","2/13/2024","TXN","Cash Div: R/D 2024-01-31 P/D 2024-02-13 - 0.5 shares at 1.3","CDIV","","","$0.65"
"2/9/2024","2/9/2024","2/9/2024","MA","Cash Div: R/D 2024-01-09 P/D 2024-02-09 - 0.127367 shares at 0.66","CDIV","","","$0.08"
"2/7/2024","2/7/2024","2/7/2024","ARM","Stock Lending","SLIP","","","$0.01"
"2/7/2024","2/7/2024","2/7/2024","VYM","Stock Lending","SLIP","","","$0.01"
"2/7/2024","2/7/2024","2/7/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"2/7/2024","2/7/2024","2/7/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"2/6/2024","2/6/2024","2/6/2024","JEPI","Cash Div: R/D 2024-02-02 P/D 2024-02-06 - 2 shares at 0.30061","CDIV","","","$0.60"
"1/29/2024","1/29/2024","1/31/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.047421","$448.96","($21.29)"
"1/29/2024","1/29/2024","1/31/2024","PEP","PepsiCo
CUSIP: 713448108","Buy","0.2973","$168.18","($50.00)"
"1/29/2024","1/29/2024","1/31/2024","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.327836","$152.52","($50.00)"
"1/29/2024","1/29/2024","1/31/2024","O","Realty Income
CUSIP: 756109104","Buy","2","$54.98","($109.95)"
"1/29/2024","1/29/2024","1/31/2024","JEPI","JPMorgan Equity Premium Income
CUSIP: 46641Q332","Buy","2","$56.01","($112.01)"
"1/29/2024","1/29/2024","1/31/2024","RSP","Invesco S&P 500 Equal Weight ETF
CUSIP: 46137V357","Buy","1","$157.60","($157.60)"
"1/29/2024","1/29/2024","1/30/2024","","ACH Deposit","ACH","","","$478.00"
"1/26/2024","1/26/2024","1/26/2024","SPHD","Cash Div: R/D 2024-01-23 P/D 2024-01-26 - 3 shares at 0.15303","CDIV","","","$0.46"
"1/12/2024","1/12/2024","1/12/2024","ARM","ADR Fee: R/D 2023-12-18 P/D 2024-01-12 - 1.000000 shares at 0.02","AFEE","","","($0.02)"
"1/12/2024","1/12/2024","1/12/2024","COST","Cash Div: R/D 2023-12-28 P/D 2024-01-12 - 0.171821 shares at 15","CDIV","","","$2.58"
"1/10/2024","1/10/2024","1/10/2024","DIS","Cash Div: R/D 2023-12-11 P/D 2024-01-10 - 0.258526 shares at 0.3","CDIV","","","$0.08"
"1/8/2024","1/8/2024","1/8/2024","VYM","Stock Lending","SLIP","","","$0.01"
"1/8/2024","1/8/2024","1/8/2024","ARM","Stock Lending","SLIP","","","$0.01"
"1/8/2024","1/8/2024","1/8/2024","SCHD","Stock Lending","SLIP","","","$0.01"
"1/8/2024","1/8/2024","1/8/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"12/28/2023","12/28/2023","12/28/2023","NVDA","Cash Div: R/D 2023-12-06 P/D 2023-12-28 - 0.247298 shares at 0.04","CDIV","","","$0.01"
"12/28/2023","12/28/2023","12/28/2023","NOBL","Cash Div: R/D 2023-12-21 P/D 2023-12-28 - 3.003643 shares at 0.655835","CDIV","","","$1.97"
"12/26/2023","12/26/2023","12/26/2023","VOO","Cash Div: R/D 2023-12-21 P/D 2023-12-26 - 1.632935 shares at 1.8011","CDIV","","","$2.94"
"12/26/2023","12/26/2023","12/26/2023","TXRH","Cash Div: R/D 2023-12-06 P/D 2023-12-26 - 0.5 shares at 0.55","CDIV","","","$0.28"
"12/22/2023","12/22/2023","12/22/2023","SPHD","Cash Div: R/D 2023-12-19 P/D 2023-12-22 - 3 shares at 0.16931","CDIV","","","$0.51"
"12/21/2023","12/21/2023","12/21/2023","VYM","Cash Div: R/D 2023-12-19 P/D 2023-12-21 - 2 shares at 1.0995","CDIV","","","$2.20"
"12/15/2023","12/15/2023","12/15/2023","MCD","Cash Div: R/D 2023-12-01 P/D 2023-12-15 - 0.357308 shares at 1.67","CDIV","","","$0.60"
"12/15/2023","12/15/2023","12/15/2023","KO","Cash Div: R/D 2023-12-01 P/D 2023-12-15 - 1.082243 shares at 0.46","CDIV","","","$0.50"
"12/14/2023","12/14/2023","12/14/2023","HD","Cash Div: R/D 2023-11-30 P/D 2023-12-14 - 0.24544 shares at 2.09","CDIV","","","$0.51"
"12/14/2023","12/14/2023","12/14/2023","MSFT","Cash Div: R/D 2023-11-16 P/D 2023-12-14 - 0.178994 shares at 0.75","CDIV","","","$0.13"
"12/11/2023","12/11/2023","12/11/2023","SCHD","Cash Div: R/D 2023-12-07 P/D 2023-12-11 - 5 shares at 0.7423","CDIV","","","$3.71"
"12/7/2023","12/7/2023","12/7/2023","NOBL","Stock Lending","SLIP","","","$0.01"
"12/7/2023","12/7/2023","12/7/2023","SCHD","Stock Lending","SLIP","","","$0.01"
